Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
CO2 emissions (kt),EN.ATM.CO2E.KT,World,WLD,21284042.79,24280271.96,34119894.39,34261369.66,34070176.85,34145652.3,34687837.09,35560555.79,35477245.4,33566427.59,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,20875.3,28634.2,49751.9,53167.8,54553.5,56860.3,54274.3,54589.9,56972.2,46578.9,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,World,WLD,5.10061234484612,3.38315572387826,4.1530176133596,4.13805565493503,4.22463664922594,4.17906580868998,4.14642124649743,3.95174740248776,4.01324155824785,4.35248879941639,4.30409342076629,4.32932739177812
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Peru,PER,..,8.06937491693616,6.66831016491401,6.80424741378252,7.04564405972046,6.93503461650105,6.77975956010925,6.88584285144097,6.85303103477238,7.69543564349422,7.21846134707291,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Peru,PER,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,..,..
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Peru,PER,..,..,..,..,10.9753328191709,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,World,WLD,1713673297,2054191301.14,2758916784.84,2811825184.97,2836669341.19,2911949522.23,2966111478.42,2909400427.23,2962815486.7,3006634496.14,3070645412.96,..
Cereal production (metric tons),AG.PRD.CREL.MT,Peru,PER,1778458,3554034,5249331.88,5009103.09,5469456.57,5283994.69,5140707.27,5654959.86,5284016.85,5403711.47,5616092.54,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
